编号,微博URL,微博内容,发表时间,UID,昵称,库存评论数,库存转发数,线上评论数,线上转发数,线上点赞数,曝光,眼球,是否原创,是否包含图片,是否包含短链,发布来源
1,http://weibo.com/1684691562/CBsmh178p,//@响马: 转发微博,2015-09-20 22:07:25,1684691562,yofine2js,1,0,2,0,0,219.0,0.0,True,False,False,微博 weibo.com
2,http://weibo.com/1684691562/CBldVuv1U,转发微博,2015-09-20 03:57:37,1684691562,yofine2js,0,0,0,0,0,219.0,0.0,True,False,False,Windows.Phone客户端
